2020-04-30 18:10:18.882,view all inventory figures
2020-04-30 18:10:18.883,withdraw from inventory (€100.00)
2020-04-30 18:10:18.884,deposit into inventory (495.00 RON)
2020-04-30 18:10:18.884,view all inventory figures
2020-04-30 18:10:18.885,withdraw from inventory (€20.20)
2020-04-30 18:10:18.886,deposit into inventory (100.00 RON)
2020-04-30 18:10:18.886,view all inventory figures
2020-04-30 18:10:18.888,report total inventory value
2020-04-30 18:10:18.89,view all inventory figures
2020-04-30 18:10:18.892,withdraw from inventory (1000000.00 RON)
2020-04-30 18:10:18.893,view all inventory figures
2020-04-30 19:04:05.355,view all inventory figures
2020-04-30 19:04:05.424,deposit into inventory (50000.00 RON)
2020-04-30 19:04:05.425,deposit into inventory ($1000.00)
2020-04-30 19:04:05.425,deposit into inventory (€310.75)
2020-04-30 19:04:05.426,view all inventory figures
2020-04-30 19:04:05.43,view inventory for currency: RON
2020-04-30 19:04:05.431,withdraw from inventory (50.00 RON)
2020-04-30 19:04:05.431,view inventory for currency: RON
2020-04-30 19:04:05.432,report total inventory value
2020-04-30 19:04:05.434,withdraw from inventory (475.00 RON)
2020-04-30 19:04:05.435,deposit into inventory (€100.00)
2020-04-30 19:04:05.435,view all inventory figures
2020-04-30 19:04:05.436,withdraw from inventory (750000.00 RON)
2020-04-30 19:04:05.437,deposit into inventory (100.00oz Gold)
2020-04-30 19:04:05.437,view all inventory figures
2020-04-30 19:04:05.438,withdraw from inventory (550.00 RON)
2020-04-30 19:04:05.439,deposit into inventory (£100.00)
2020-04-30 19:04:05.439,view all inventory figures
2020-04-30 19:04:05.44,withdraw from inventory (€100.00)
2020-04-30 19:04:05.441,deposit into inventory (495.00 RON)
2020-04-30 19:04:05.441,view all inventory figures
2020-04-30 19:04:05.442,withdraw from inventory (€20.20)
2020-04-30 19:04:05.443,deposit into inventory (100.00 RON)
2020-04-30 19:04:05.444,view all inventory figures
2020-04-30 19:04:05.445,report total inventory value
2020-04-30 19:04:05.446,view all inventory figures
2020-04-30 19:04:05.447,withdraw from inventory (1000000.00 RON)
2020-04-30 19:04:05.448,view all inventory figures
2020-04-30 19:04:49.517,withdraw from inventory (15000.00 RON)
2020-04-30 19:04:49.545,deposit into inventory (2.00oz Gold)
2020-04-30 19:04:53.843,saved inventory
2020-04-30 19:05:44.555,view all inventory figures
2020-04-30 19:06:03.677,report total inventory value
